RoutesID,Origin_Location,Destination_Location,Market/Regular ,Planned_ETA,TRANSPORTATION_DISTANCE_IN_KM
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 0:57,940
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/30/2020 14:09,300
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 14:46,585
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 15:51,3
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/30/2020 18:27,585
,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Market,8/30/2020 21:06,310
,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Market,8/30/2020 20:20,170
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/31/2020 0:46,103
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/31/2020 0:56,940
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/31/2020 2:32,20
,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/31/2020 15:27,320
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,8/31/2020 14:09,300
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/31/2020 12:57,660
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/31/2020 15:49,585
,"TVSLSL-PUZHAL-HUB,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",Market,8/31/2020 19:23,320
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/31/2020 19:33,585
,"LUCAS TVS LTD-AMBATTUR,CHENNAI,TAMIL NADU","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,9/1/2020 1:51,170
,"LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY","LUCAS TVS LTD-PONDY,PONDY,PONDICHERRY",Regular,9/1/2020 4:34,300
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/31/2020 19:07,103
,"TVSLSL-PUZHAL-HUB,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",Regular,8/31/2020 19:14,535
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/31/2020 19:23,585
,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",Market,9/1/2020 13:46,310
,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 1- HOSUR,HOSUR,KARNATAKA",Market,9/1/2020 13:48,310
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,9/1/2020 13:59,69
,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Regular,8/29/2020 17:21,525
,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Regular,8/29/2020 17:21,525
,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Regular,8/31/2020 14:44,525
,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Regular,8/26/2020 18:47,525
,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Regular,8/27/2020 16:46,525
,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Regular,8/27/2020 16:46,525
,"Vellaripatti, Madurai, Tamil Nadu","Devalapura, Mysore, Karnataka",Regular,8/26/2020 18:47,525
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/31/2020 19:21,29
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/31/2020 18:22,21
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,9/1/2020 4:32,20
,"Naickenpalayam, Coimbatore, Tamil Nadu","Mookandapalli, Krishnagiri, Tamil Nadu",Regular,8/29/2020 19:45,400
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/31/2020 19:05,21
,"DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU","DAIMLER INDIA COMMERCIAL VEHICLES,KANCHIPURAM,TAMIL NADU",Regular,8/31/2020 16:57,3
,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Market,8/30/2020 15:17,310
,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Regular,8/30/2020 15:35,310
,"ASHOK LEYLAND ENNORE,CHENNAI,TAMIL NADU","ASHOK LEYLAND PLANT 2-HOSUR,HOSUR,KARNATAKA",Market,8/30/2020 21:04,310
